,tp,fp
0,1.0,1.0
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,1.0,1.0
6,1.0,1.0
7,1.0,1.0
8,1.0,1.0
9,1.0,1.0
10,1.0,1.0
11,1.0,1.0
12,1.0,1.0
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,1.0,1.0
17,1.0,1.0
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
21,1.0,1.0
22,1.0,1.0
23,1.0,1.0
24,1.0,1.0
25,0.999852267690944,1.0
26,0.999852267690944,1.0
27,0.999704535381888,0.9994033412887828
28,0.999113606145664,0.9980608591885441
29,0.9940907076377604,0.9843377088305489
30,0.9909883291475846,0.975835322195704
31,0.9880336829664648,0.9679295942720764
32,0.9799084059683852,0.9507756563245824
33,0.9708967351159699,0.9355608591885441
34,0.9643965135175063,0.9200477326968973
35,0.9499187472300192,0.8973747016706444
36,0.9304180824346284,0.8673926014319809
37,0.9033830698773821,0.8213007159904535
38,0.8571428571428571,0.7589498806682577
39,0.8116413059536121,0.7030131264916468
40,0.7902201211404934,0.6616945107398569
41,0.7683557394002068,0.6187350835322196
42,0.7553552962032797,0.5826372315035799
43,0.7401388683705127,0.5553400954653938
44,0.719160880484562,0.5159606205250596
45,0.7002511449253952,0.48448687350835323
46,0.6850347170926282,0.4498806682577566
47,0.640567292066775,0.39901551312649164
48,0.6026000886393854,0.36232100238663484
49,0.5668488698478357,0.32935560859188545
50,0.5396661249815334,0.29982100238663484
51,0.4968237553552962,0.27088305489260145
52,0.4876643521938248,0.2564140811455847
53,0.46978874279804994,0.2322494033412888
54,0.453094991874723,0.20883054892601433
55,0.4397990840596839,0.19122911694510739
56,0.42473038853597284,0.17511933174224345
57,0.40803663761264586,0.15945704057279236
58,0.3973999113606146,0.14379474940334128
59,0.37524006500221596,0.11366348448687351
60,0.3452504062638499,0.09740453460620525
61,0.3075786674545723,0.08681384248210024
62,0.2957600827300931,0.07696897374701671
63,0.28600975033239767,0.06846658711217184
64,0.23770128527108877,0.0625
65,0.20209779878859507,0.05489260143198091
66,0.18407445708376421,0.038484486873508354
67,0.1783128970305806,0.03415871121718377
68,0.17240360466834095,0.030280429594272077
69,0.1202540995715763,0.0183472553699284
70,0.10695819175653716,0.014767303102625298
71,0.09750332397695376,0.012678997613365155
72,0.09558280395922589,0.00954653937947494
73,0.09381001625055399,0.006115751789976134
74,0.0905599054513222,0.0031324582338902148
75,0.08923031466981829,0.002088305489260143
76,0.0008863938543359433,0.0005966587112171838
77,0.0005909292362239622,0.0002983293556085919
78,0.0005909292362239622,0.0002983293556085919
79,0.0005909292362239622,0.00014916467780429595
80,0.00044319692716797166,0.0
81,0.00014773230905599054,0.0
82,0.00014773230905599054,0.0
83,0.00014773230905599054,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
